project,methodPath,releaseId,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/waitFor,release-4.1.0,7,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/writeComplete,release-4.1.0,9,0,0,0,1,5,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/writeComplete,release-4.1.0,7,0,0,0,1,5,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/resetComplete,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/waitForComplete,release-4.1.0,5,0,0,0,1,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/getValidLedgerId,release-4.1.0,19,0,0,0,2,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/main,release-4.1.0,75,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/run,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/compare,release-4.1.0,15,0,0,0,2,2,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/process,release-4.1.0,5,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/process,release-4.1.0,48,0,0,0,4,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/readLedger,release-4.1.0,68,0,0,0,5,3,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/usage,release-4.1.0,4,0,0,0,0,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/main,release-4.1.0,120,0,0,0,3,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,release-4.1.0,4,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,release-4.1.0,5,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,release-4.1.0,11,0,0,0,2,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,release-4.1.0,5,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,release-4.1.0,5,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/Context,release-4.1.0,4,0,0,0,0,2,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/percentile,release-4.1.0,11,0,0,0,1,2,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/warmUp,release-4.1.0,34,0,0,0,2,6,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/close,release-4.1.0,6,0,0,0,1,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/addComplete,release-4.1.0,11,0,0,0,1,4,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getDuration,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,release-4.1.0,70,0,0,0,3,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/BenchThroughputLatency,release-4.1.0,18,0,0,0,2,6,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/main,release-4.1.0,131,0,0,0,2,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getThroughput,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getRandomLedger,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/setEntryData,release-4.1.0,3,0,0,0,0,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry,release-4.1.0,11,0,0,0,1,2,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch,release-4.1.0,14,0,0,0,1,2,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient,release-4.1.0,16,0,0,0,1,3,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main,release-4.1.0,22,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/run,release-4.1.0,4,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/FileClient,release-4.1.0,6,0,0,0,0,3,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,release-4.1.0,23,0,0,0,3,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main,release-4.1.0,139,0,0,0,3,1,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,release-4.1.0,23,0,0,0,3,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/HDFSClient,release-4.1.0,6,0,0,0,0,3,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/BKClient,release-4.1.0,7,0,0,0,0,4,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,release-4.1.0,32,0,0,0,3,0,0,no
bookkeeper,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete,release-4.1.0,6,0,0,0,1,4,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testThroughputLatency,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testReadThroughputLatency,release-4.1.0,74,0,0,0,3,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/startEnsemble,release-4.1.0,53,0,0,0,5,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/stopEnsemble,release-4.1.0,6,0,0,0,1,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testBookie,release-4.1.0,5,0,0,0,0,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/run,release-4.1.0,11,0,0,0,1,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/process,release-4.1.0,5,0,0,0,1,1,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/run,release-4.1.0,8,0,0,0,1,0,0,no
bookkeeper,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/run,release-4.1.0,8,0,0,0,1,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept,release-4.1.0,6,0,0,0,1,2,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/waitZero,release-4.1.0,5,0,0,0,1,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/incCount,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete,release-4.1.0,6,0,0,0,1,5,0,yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry,release-4.1.0,7,0,0,0,1,2,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readJournal,release-4.1.0,38,0,0,0,0,0,0,yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getCurrentDirectories,release-4.1.0,7,0,0,0,1,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie,release-4.1.0,12,0,0,0,1,1,0,yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning,release-4.1.0,3,0,0,0,0,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getCurrentDirectory,release-4.1.0,3,0,0,0,0,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryByLedgerId,release-4.1.0,5,0,0,0,0,2,0,yes
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main,release-4.1.0,18,0,0,0,1,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper,release-4.1.0,22,0,0,0,0,2,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run,release-4.1.0,12,0,0,0,1,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/start,release-4.1.0,15,0,0,0,1,0,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry,release-4.1.0,9,0,0,0,2,4,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerJMX,release-4.1.0,18,0,0,0,2,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/checkDirectoryStructure,release-4.1.0,26,0,0,0,2,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie,release-4.1.0,15,0,0,0,0,1,0,no
bookkeeper,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown,release-4.1.0,3,0,0,0,0,0,0,yes
