project,releaseId,methodPath,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry,11,0,0,0,1,2,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle,3,0,0,0,0,0,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch,14,0,0,0,1,2,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient,16,0,0,0,1,3,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main,22,0,0,0,1,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient,10,0,0,0,1,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient,10,0,0,0,1,3,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient,4,0,0,0,0,0,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/getFreshEntryId,7,0,0,0,1,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeConsecutiveEntriesBatch,23,0,0,0,2,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete,3,0,0,0,0,4,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main,36,0,0,0,2,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatchFS,17,0,0,0,2,2,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/readComplete,10,0,0,0,1,4,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/closeHandle,3,0,0,0,0,0,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/removeEntryId,12,0,0,0,4,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient,4,0,0,0,0,1,0,no
bookkeeper,release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatch,14,0,0,0,2,2,0,no
bookkeeper,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept,6,0,0,0,1,1,0,yes
bookkeeper,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run,56,0,0,0,4,0,0,no
bookkeeper,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/SyncThread,7,0,0,0,1,1,0,no
bookkeeper,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown,7,0,0,0,1,0,0,yes
